name,name,galg,galg-lo,galg-hi,taylor,taylor-lo,taylor-hi
03_1,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
04_1,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
05_1,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
05_2,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
06_1,,1,Alexander polynomial non-trivial,Algebraic unknotting number,0,Taylor invariant >= 0 for all knots,Algebraically slice
06_2,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
06_3,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
07_1,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
07_2,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
07_3,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
07_4,,1,Alexander polynomial non-trivial,Span of Alexander polynomial,1,Fox-Milnor condition,Topological slice genus
07_5,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
07_6,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
07_7,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
08_01,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
08_02,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
08_03,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
08_04,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
08_05,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
08_06,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
08_07,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
08_08,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],0,Taylor invariant >= 0 for all knots,Algebraically slice
08_09,,1,Alexander polynomial non-trivial,Algebraic unknotting number,0,Taylor invariant >= 0 for all knots,Algebraically slice
08_10,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
08_11,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
08_12,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
08_13,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
08_14,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
08_15,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
08_16,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
08_17,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
08_18,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
08_19,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
08_20,,1,Alexander polynomial non-trivial,Algebraic unknotting number,0,Taylor invariant >= 0 for all knots,Algebraically slice
08_21,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
09_01,,4,Signature,Algebraic unknotting number,4,Signature,Topological slice genus
09_02,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
09_03,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
09_04,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
09_05,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
09_06,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
09_07,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
09_08,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
09_09,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
09_10,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
09_11,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
09_12,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
09_13,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
